"","Genome","Accession","Source.information","Topology","Taxonomy","Molecule.type","Genome.length","Number.of.proteins","Host","Date.completed","Date.updated","first.acc","n.overlaps","len.overlaps"
"34","Frog adenovirus 1","NC_002501","-","linear","['Viruses', 'Adenoviridae', 'Siadenovirus']","DNA",26163,23,"vertebrates","07/20/2000","08/13/2018","NC_002501",11,43.0909090909091
"35","Goose adenovirus 4","NC_017979","strain:P29; serotype:1","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Goose aviadenovirus A']","DNA",43376,34,"vertebrates","05/29/2012","08/13/2018","NC_017979",24,81.8333333333333
"36","Great tit adenovirus 1","NC_043405","strain:5957/SZ","linear","['Viruses', 'Adenoviridae', 'Siadenovirus']","DNA",13628,10,"vertebrates","06/28/2019","06/28/2019","NC_043405",3,7.66666666666667
"37","Human adenovirus 54","NC_012959","strain:Kobe-H","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Human mastadenovirus D']","DNA",34920,36,"vertebrates, human","07/13/2009","08/13/2018","NC_012959",11,149.909090909091
"38","Human mastadenovirus D","NC_010956","strain:Hicks; NIAID V-209-003-014; serotype:Human adenovirus 9","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",35083,38,"vertebrates, human","06/12/2008","08/13/2018","NC_010956",15,143.733333333333
"39","Human mastadenovirus A","NC_001460","strain:Huie; serotype:Human adenovirus 12; culture-collection:ATCC:VR-863","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",34125,36,"vertebrates, human","07/06/1993","08/13/2018","NC_001460",16,147.125
"40","Human mastadenovirus B","['NC_011202', 'NC_011203']","strain:Slobitski; type:2; type:Ad11p; serotype:Human adenovirus 11; culture-collection:ATCC:VR-12","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",70137,77,"vertebrates, human","09/04/2008","08/13/2018","NC_011202",16,159.1875
"41","Human mastadenovirus B","['NC_011202', 'NC_011203']","strain:Slobitski; type:2; type:Ad11p; serotype:Human adenovirus 11; culture-collection:ATCC:VR-12","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",70137,77,"vertebrates, human","09/04/2008","08/13/2018","NC_011202",16,159.1875
"42","Human mastadenovirus C","NC_001405","serotype:Human adenovirus 2","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",35937,38,"vertebrates, human","04/27/1993","08/13/2018","NC_001405",15,210.533333333333
"43","Human mastadenovirus F","NC_001454","strain:Dugan; serotype:Human adenovirus 40","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",34214,34,"vertebrates","07/26/1993","08/13/2018","NC_001454",12,161.916666666667
"44","Lizard adenovirus 2","NC_024684","isolate:23-06","linear","['Viruses', 'Adenoviridae', 'Atadenovirus']","DNA",32965,34,"vertebrates","08/13/2014","08/13/2018","NC_024684",13,111.461538461538
"45","Murine adenovirus 2","NC_014899","serotype:2; isolate:K87","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",35203,27,"vertebrates","01/13/2011","08/13/2018","NC_014899",10,221.5
"46","Murine adenovirus 3","NC_012584","-","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Murine mastadenovirus C']","DNA",30570,28,"vertebrates","04/21/2009","08/13/2018","NC_012584",9,286.222222222222
"47","Murine mastadenovirus A","NC_000942","serotype:Murine adenovirus 1","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",30944,26,"vertebrates","04/05/1997","08/13/2018","NC_000942",7,197.285714285714
"48","Odocoileus adenovirus 1","NC_035619","isolate:CA_AdV_Ohc 98-6943","linear","['Viruses', 'Adenoviridae', 'Atadenovirus']","DNA",30620,27,"vertebrates","08/28/2017","08/13/2018","NC_035619",10,67.7
"49","Ovine adenovirus 1","NC_043094","strain:S1; serotype:1","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Ovine mastadenovirus B']","DNA",2724,1,"vertebrates","06/28/2019","06/28/2019","NC_043094",0,NA
"50","Ovine adenovirus 7","NC_004037","strain:OAV287","linear","['Viruses', 'Adenoviridae', 'Atadenovirus']","DNA",29576,30,"vertebrates","12/28/1996","08/13/2018","NC_004037",10,53.4
"51","Penguin siadenovirus A","NC_030116","isolate:CSPAdV_2","linear","['Viruses', 'Adenoviridae', 'Siadenovirus']","DNA",24662,22,"vertebrates","05/16/2016","02/23/2019","NC_030116",9,72.4444444444444
"52","Pigeon adenovirus 1","NC_024474","strain:IDA4","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Pigeon aviadenovirus A']","DNA",45480,37,"vertebrates","05/16/2010","08/13/2018","NC_024474",27,65.0740740740741
"53","Pigeon adenovirus 2","NC_031503","isolate:YPDS-Y-V1.A19.11-2013","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus']","DNA",41981,35,"vertebrates","10/21/2016","08/13/2018","NC_031503",24,124
"54","Polar bear mastadenovirus 1","NC_040811","isolate:BK35","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'unclassified Mastadenovirus']","DNA",27952,27,"vertebrates","02/12/2019","02/12/2019","NC_040811",14,97.2857142857143
"55","Porcine adenovirus 4","NC_038334","strain:PAV-4; isolate:NADC-1","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Porcine mastadenovirus B']","DNA",2559,1,"vertebrates","08/24/2018","08/24/2018","NC_038334",0,NA
"56","Porcine adenovirus 5","NC_002702","serotype:5","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Porcine mastadenovirus C']","DNA",32621,28,"vertebrates","03/26/2001","08/13/2018","NC_002702",7,106.857142857143
"57","Psittacine adenovirus 3","NC_025962","isolate:HKU/Parrot19","linear","['Viruses', 'Adenoviridae', 'Atadenovirus']","DNA",31735,29,"vertebrates","12/24/2014","08/13/2018","NC_025962",7,79.2857142857143
"58","Psittacine aviadenovirus B","NC_039032","isolate:CS15-4016","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus']","DNA",40930,42,"vertebrates","08/24/2018","08/24/2018","NC_039032",12,29.0833333333333
"59","Raptor adenovirus 1","NC_015455","-","linear","['Viruses', 'Adenoviridae', 'Siadenovirus']","DNA",26284,23,"vertebrates","04/29/2011","08/13/2018","NC_015455",10,52.5
"60","Simian adenovirus 1","NC_006879","strain:ATCC VR-195","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",34450,35,"vertebrates","03/17/2005","08/13/2018","NC_006879",14,139.642857142857
"61","Simian adenovirus 13","NC_028103","strain:P-9; serotype:13","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",32939,34,"vertebrates","10/30/2015","08/13/2018","NC_028103",13,165.230769230769
"62","Simian adenovirus 16","NC_028105","strain:C-8; serotype:16","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",35159,36,"vertebrates","10/30/2015","08/13/2018","NC_028105",17,146.647058823529
"63","Simian adenovirus 18","NC_022266","-","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",31967,29,"vertebrates","09/06/2013","08/13/2018","NC_022266",11,184.909090909091
"64","Simian adenovirus 19","NC_028107","strain:AA153; serotype:19","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",34064,36,"vertebrates","10/30/2015","08/13/2018","NC_028107",19,141.684210526316
"65","Simian adenovirus 20","NC_020485","strain:ATCC VR-541; serotype:20; culture-collection:ATCC:VR-541","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",34302,32,"vertebrates","03/12/2013","08/13/2018","NC_020485",10,105.8
"66","Simian adenovirus 3","NC_006144","strain:ATCC VR-1449","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",34246,34,"vertebrates","08/24/2004","08/13/2018","NC_006144",14,126
"67","Simian adenovirus 49","NC_015225","isolate:C24948","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Simian mastadenovirus B']","DNA",35499,32,"vertebrates","04/04/2011","08/13/2018","NC_015225",9,125.555555555556
"68","Simian adenovirus 8","NC_028113","strain:P-5; serotype:8","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",35685,36,"vertebrates","10/30/2015","08/13/2018","NC_028113",17,151.529411764706
"69","Simian adenovirus DM-2014","NC_025678","isolate:23336","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",32661,34,"vertebrates","11/19/2014","08/13/2018","NC_025678",16,131.5625
"70","Simian mastadenovirus C","NC_021168","isolate:BaAdV-2","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",34391,36,"vertebrates","05/01/2013","08/13/2018","NC_021168",16,131.375
"71","Simian mastadenovirus WIV19","NC_032105","isolate:WIV19","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",33562,34,"vertebrates","12/14/2016","08/13/2018","NC_032105",14,132.642857142857
"72","Skua adenovirus 1","NC_016437","isolate:T03","linear","['Viruses', 'Adenoviridae', 'Siadenovirus']","DNA",26340,23,"vertebrates","12/15/2011","08/13/2018","NC_016437",10,49.7
"73","Skunk adenovirus PB1","NC_027708","isolate:SkAdV-PB1","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",31848,30,"vertebrates","08/18/2015","08/13/2018","NC_027708",9,100
"74","Snake adenovirus 1","NC_009989","strain:145/88","linear","['Viruses', 'Adenoviridae', 'Atadenovirus']","DNA",27751,28,"vertebrates","11/20/2007","08/13/2018","NC_009989",12,116.75
"75","Squirrel adenovirus 1","NC_035207","strain:DE/2013/Sciurus vulgaris/2013Pa405-00252","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",35030,29,"vertebrates","07/14/2017","08/13/2018","NC_035207",9,216.444444444444
"76","Titi monkey adenovirus ECC-2011","NC_020487","-","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",36838,35,"vertebrates","05/10/2013","08/13/2018","NC_020487",13,148.153846153846
"77","Turkey adenovirus 1","NC_014564","strain:D90/2","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Turkey aviadenovirus B']","DNA",45413,37,"vertebrates","10/08/2010","08/13/2018","NC_014564",18,110.111111111111
"78","Turkey adenovirus 3","NC_001958","-","linear","['Viruses', 'Adenoviridae', 'Siadenovirus']","DNA",26263,24,"vertebrates","10/19/1998","08/13/2018","NC_001958",10,172.5
"79","Turkey aviadenovirus 4","NC_022612","type:4; isolate:TNI1","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Turkey aviadenovirus C']","DNA",42940,33,"vertebrates","10/31/2013","08/13/2018","NC_022612",19,61.7368421052632
"80","Turkey aviadenovirus 5","NC_022613","type:5; isolate:1277BT","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Turkey aviadenovirus D']","DNA",43686,37,"vertebrates","10/31/2013","08/13/2018","NC_022613",12,82.9166666666667
"81","Ageratum conyzoides associated symptomless alphasatellite","NC_024710","isolate:Okra","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","DNA",1437,1,"plants","08/20/2014","08/13/2018","NC_024710",0,NA
"82","Ageratum conyzoides symptomless alphasatellite","NC_028116","isolate:WOK80","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","DNA",1381,1,"plants","10/30/2015","08/13/2018","NC_028116",0,NA
"83","Ageratum enation alphasatellite","NC_019547","isolate:Poppy (1)","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Colecusatellite']","DNA",1378,1,"plants","11/21/2012","08/13/2018","NC_019547",0,NA
"84","Ageratum leaf curl Cameroon alphasatellite","NC_014744","isolate:SatA7","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","DNA",1383,3,"plants","12/01/2010","08/14/2018","NC_014744",1,34
"85","Ageratum yellow vein China alphasatellite","NC_023443","isolate:Sn3","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Colecusatellite']","DNA",1365,1,"plants","02/13/2014","08/13/2018","NC_023443",0,NA
"86","Ageratum yellow vein India alphasatellite","NC_019546","isolate:NBRI","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Colecusatellite']","DNA",1389,1,"plants","11/21/2012","08/13/2018","NC_019546",0,NA
"87","Ageratum yellow vein Pakistan alphasatellite","NC_033271","isolate:H5A1","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","DNA",1370,1,"plants","01/05/2017","08/13/2018","NC_033271",0,NA
"88","Ageratum yellow vein Singapore alphasatellite","NC_003414","-","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Ageyesisatellite']","ss-DNA",1360,1,"plants","02/14/2002","08/13/2018","NC_003414",0,NA
"89","Ageratum yellow vein alphasatellite","NC_033555","-","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Colecusatellite']","DNA",1364,1,"plants","01/27/2017","08/13/2018","NC_033555",0,NA
"90","Banana bunchy top alphasatellite 1","NC_038892","-","linear","['Viruses', 'Alphasatellitidae', 'Nanoalphasatellitinae', 'Babusatellite']","DNA",1096,4,"","08/24/2018","09/07/2018","NC_038892",3,142.333333333333
"91","Banana bunchy top alphasatellite 2","NC_038953","-","circular","['Viruses', 'Alphasatellitidae', 'Nanoalphasatellitinae', 'Babusatellite']","ss-DNA",1100,1,"","08/24/2018","06/28/2019","NC_038953",0,NA
"92","Banana bunchy top alphasatellite 3","NC_038955","isolate:Haikou 2","circular","['Viruses', 'Alphasatellitidae', 'Nanoalphasatellitinae', 'Babusatellite']","DNA",1093,1,"","08/24/2018","09/07/2018","NC_038955",0,NA
"93","Bendhi Yellow Vein Mosaic/Mesta Yellow Vein Mosaic alphasatellite","NC_039083","-","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","DNA",1377,1,"plants","02/08/2010","08/24/2018","NC_039083",0,NA
"94","Bhendi yellow vein mosaic alphasatellite","NC_026947","isolate:Madurai MKU-2","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","DNA",1370,1,"plants","05/05/2015","08/13/2018","NC_026947",0,NA
"95","Bhendi yellow vein mosaic virus-associated alphasatellite","NC_018574","isolate:BYVMVA[Okra:Ropar:2010]","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","DNA",1316,1,"plants","09/10/2012","08/13/2018","NC_018574",0,NA
"96","Bhindi yellow vein alphasatellite","NC_029313","isolate:Pakistan:Lahore:Urtica dioica_2013","linear","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","DNA",1361,1,"plants","03/01/2016","08/13/2018","NC_029313",0,NA
"97","Black medic leafroll alphasatellite 1","NC_023875","isolate:Lerik-Xalifa_47","circular","['Viruses', 'Alphasatellitidae', 'Nanoalphasatellitinae', 'unclassified Babu- and nanovirus-associated alphasatellites']","ss-DNA",1030,1,"plants","04/03/2014","08/13/2018","NC_023875",0,NA
"98","Cardamom bushy dwarf alphasatellite","NC_022919","-","circular","['Viruses', 'Alphasatellitidae', 'Nanoalphasatellitinae', 'Babusatellite']","DNA",1127,1,"plants","11/29/2013","08/13/2018","NC_022919",0,NA
"99","Cassava mosaic Madagascar alphasatellite","NC_018628","isolate:Madagascar:Diana:635A6:2011","linear","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Colecusatellite']","DNA",1478,1,"plants","09/16/2012","08/13/2018","NC_018628",0,NA
"100","Chilli leaf curl India alphasatellite","NC_027431","-","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","DNA",1375,1,"plants","06/30/2015","08/13/2018","NC_027431",0,NA
"101","Chilli leaf curl Multan alphasatellite","NC_013103","-","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","DNA",1369,1,"plants","02/25/2009","08/13/2018","NC_013103",0,NA
"102","Chilli leaf curl alphasatellite","NC_039234","-","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Colecusatellite']","DNA",1391,1,"plants","08/24/2018","08/24/2018","NC_039234",0,NA
"103","Cleome leaf crumple alphasatellite","NC_014646","-","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Clecrusatellite']","DNA",1351,1,"plants","06/09/2010","08/13/2018","NC_014646",0,NA
"104","Coconut foliar decay alphasatellite","NC_001465","-","circular","['Viruses', 'Alphasatellitidae']","ss-DNA",1291,6,"","08/02/1993","08/13/2018","NC_001465",6,200.833333333333
"105","Coconut foliar decay alphasatellite 3","['NC_040696', 'NC_040624']","isolate:CFDA3del-[VU-89]","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","ss-DNA",1871,3,"plants","02/12/2019","02/12/2019","NC_040696",0,NA
"106","Coconut foliar decay alphasatellite 3","['NC_040696', 'NC_040624']","isolate:CFDA3del-[VU-89]","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","ss-DNA",1871,3,"plants","02/12/2019","02/12/2019","NC_040696",0,NA
"107","Coconut foliar decay alphasatellite 6","NC_040697","isolate:CFDA6-[VU-88]","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","ss-DNA",1264,1,"plants","02/12/2019","02/12/2019","NC_040697",0,NA
"108","Coconut foliar decay alphasatellite 7","NC_040812","isolate:CFDA7-[VU-89]","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","ss-DNA",1259,2,"plants","02/12/2019","02/12/2019","NC_040812",1,327
"109","Cotton leaf curl Burewala alphasatellite","NC_013803","-","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","DNA",1366,1,"plants","02/08/2010","08/13/2018","NC_013803",0,NA
"110","Cotton leaf curl Gezira alphasatellite","NC_013593","isolate:BF:Kampala:Okra7","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Colecusatellite']","DNA",1387,1,"plants","11/29/2009","08/13/2018","NC_013593",0,NA
"111","Cotton leaf curl Lucknow alphasatellite","NC_015327","isolate:Lucknow","linear","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Colecusatellite']","DNA",1396,1,"plants","05/11/2011","08/13/2018","NC_015327",0,NA
"112","Cotton leaf curl Multan alphasatellite","NC_018082","-","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Colecusatellite']","DNA",1376,1,"plants","06/21/2012","08/13/2018","NC_018082",0,NA
"113","Croton yellow vein mosaic alphasatellite","NC_013801","-","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Clecrusatellite']","DNA",1347,1,"plants","02/08/2010","08/13/2018","NC_013801",0,NA
"114","Cuban alphasatellite 1","NC_021708","isolate:1_1","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","DNA",1292,2,"plants","07/02/2013","08/13/2018","NC_021708",1,504
"115","Cucurbit yellow mosaic alphasatellite","NC_029907","isolate:51SA","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']","ss-DNA",1335,2,"plants","04/20/2016","08/13/2018","NC_029907",1,420
"116","Dragonfly associated alphasatellite","NC_019498","isolate:PR_NZ48_2009","circular","['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae']","DNA",1479,1,"plants","11/21/2012","08/13/2018","NC_019498",0,NA
