,Unnamed: 0,Genome,Accession,Source.information,Topology,Taxonomy,Molecule.type,Genome.length,Number.of.proteins,Host,Date.completed,Date.updated,first.acc,n.overlaps,len.overlaps,baltimore.class,family
10,11,Bottlenose dolphin adenovirus 1,NC_038333,strain:Tt11018,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,29474,28.0,vertebrates,08/24/2018,08/24/2018,NC_038333,12.0,149.75,ds_DNA,Adenoviridae
11,12,Bovine adenovirus 10,NC_043093,isolate:Ma268,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Bovine mastadenovirus C']",DNA,571,1.0,vertebrates,06/28/2019,06/28/2019,NC_043093,0.0,,ds_DNA,Adenoviridae
12,13,Bovine adenovirus 2,NC_002513,-,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Ovine mastadenovirus A']",DNA,33034,11.0,vertebrates,08/15/2000,08/13/2018,NC_002513,4.0,43.0,ds_DNA,Adenoviridae
13,14,Bovine adenovirus 3,NC_001876,strain:WBR-1,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Bovine mastadenovirus B']",DNA,34446,28.0,vertebrates,03/06/1998,08/13/2018,NC_001876,4.0,138.0,ds_DNA,Adenoviridae
14,15,Bovine adenovirus 6,NC_020074,strain:671130; serotype:Bovine adenovirus E,linear,"['Viruses', 'Adenoviridae', 'Atadenovirus']",DNA,30024,30.0,vertebrates,01/04/2013,08/13/2018,NC_020074,7.0,65.14285714285711,ds_DNA,Adenoviridae
15,16,Bovine atadenovirus D,NC_002685,strain:THT/62; serotype:4,linear,"['Viruses', 'Adenoviridae', 'Atadenovirus']",DNA,31301,36.0,vertebrates,11/27/1997,08/13/2018,NC_002685,25.0,149.12,ds_DNA,Adenoviridae
16,17,California sea lion adenovirus 1,NC_024150,strain:Zc11-030,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,31709,30.0,vertebrates,05/28/2014,08/13/2018,NC_024150,10.0,157.1,ds_DNA,Adenoviridae
17,18,Canine mastadenovirus A,NC_001734,type:1; isolate:RI261,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,30536,30.0,vertebrates,09/05/1996,08/13/2018,NC_001734,10.0,145.7,ds_DNA,Adenoviridae
18,19,Chimpanzee adenovirus Y25,NC_017825,-,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Human mastadenovirus E']",DNA,36711,31.0,vertebrates,05/04/2012,08/13/2018,NC_017825,10.0,204.6,ds_DNA,Adenoviridae
19,20,Human mastadenovirus E,NC_003266,strain:vaccine (CL 68578); serotype:human adenovirus 4,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,35994,37.0,vertebrates,11/27/2001,08/13/2018,NC_003266,13.0,157.30769230769198,ds_DNA,Adenoviridae
20,21,Cynomolgus adenovirus 1,NC_034382,isolate:UK/UK-1/2004,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,35555,32.0,vertebrates,04/26/2017,08/25/2018,NC_034382,10.0,143.5,ds_DNA,Adenoviridae
21,22,Deer mastadenovirus B,NC_034834,isolate:1319,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,33945,28.0,vertebrates,05/30/2017,02/23/2019,NC_034834,5.0,92.6,ds_DNA,Adenoviridae
22,23,Duck adenovirus 2,NC_024486,strain:GR,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus']",DNA,43734,36.0,vertebrates,07/24/2014,08/13/2018,NC_024486,24.0,76.125,ds_DNA,Adenoviridae
23,24,Duck atadenovirus A,NC_001813,strain:127; serotype:Duck adenovirus 1,linear,"['Viruses', 'Adenoviridae', 'Atadenovirus']",DNA,33213,29.0,vertebrates,05/31/1997,08/13/2018,NC_001813,6.0,43.8333333333333,ds_DNA,Adenoviridae
24,25,Equine adenovirus 1,NC_030792,strain:M1,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Equine mastadenovirus A']",DNA,32690,31.0,vertebrates,08/24/2016,08/13/2018,NC_030792,14.0,266.285714285714,ds_DNA,Adenoviridae
25,26,Equine adenovirus 2,NC_027705,isolate:EAdV2.385/75.9,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Equine mastadenovirus B']",DNA,33090,34.0,vertebrates,08/18/2015,08/13/2018,NC_027705,15.0,145.333333333333,ds_DNA,Adenoviridae
26,27,Falconid adenovirus 1,NC_043092,-,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Falcon aviadenovirus A']",DNA,1276,1.0,vertebrates,06/28/2019,06/28/2019,NC_043092,0.0,,ds_DNA,Adenoviridae
27,28,Fowl aviadenovirus 5,NC_021221,strain:340,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Fowl aviadenovirus B']",DNA,45781,39.0,vertebrates,05/16/2013,08/13/2018,NC_021221,24.0,75.25,ds_DNA,Adenoviridae
28,29,Fowl aviadenovirus 6,NC_038332,strain:CR119; serotype:fowl adenovirus 6,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Fowl aviadenovirus E']",DNA,43810,37.0,vertebrates,08/24/2018,08/24/2018,NC_038332,20.0,67.75,ds_DNA,Adenoviridae
29,30,Fowl aviadenovirus E,NC_014969,isolate:HG,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus']",DNA,44055,46.0,vertebrates,01/27/2011,08/13/2018,NC_014969,13.0,132.153846153846,ds_DNA,Adenoviridae
30,31,Fowl aviadenovirus A,NC_001720,strain:Phelps (ATCC VR-432); serotype:Fowl adenovirus 1,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus']",DNA,43804,39.0,vertebrates,05/16/1996,08/13/2018,NC_001720,14.0,207.07142857142898,ds_DNA,Adenoviridae
31,32,Fowl aviadenovirus C,NC_015323,serotype:4; isolate:ON1,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus']",DNA,45667,46.0,vertebrates,04/01/2011,08/13/2018,NC_015323,12.0,53.4166666666667,ds_DNA,Adenoviridae
32,33,Fowl aviadenovirus D,NC_000899,strain:A-2A; serotype:Fowl adenovirus 9,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus']",DNA,45063,29.0,vertebrates,08/19/1999,08/13/2018,NC_000899,2.0,4.0,ds_DNA,Adenoviridae
33,34,Frog adenovirus 1,NC_002501,-,linear,"['Viruses', 'Adenoviridae', 'Siadenovirus']",DNA,26163,23.0,vertebrates,07/20/2000,08/13/2018,NC_002501,11.0,43.0909090909091,ds_DNA,Adenoviridae
34,35,Goose adenovirus 4,NC_017979,strain:P29; serotype:1,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Goose aviadenovirus A']",DNA,43376,34.0,vertebrates,05/29/2012,08/13/2018,NC_017979,24.0,81.8333333333333,ds_DNA,Adenoviridae
35,36,Great tit adenovirus 1,NC_043405,strain:5957/SZ,linear,"['Viruses', 'Adenoviridae', 'Siadenovirus']",DNA,13628,10.0,vertebrates,06/28/2019,06/28/2019,NC_043405,3.0,7.66666666666667,ds_DNA,Adenoviridae
36,37,Human adenovirus 54,NC_012959,strain:Kobe-H,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Human mastadenovirus D']",DNA,34920,36.0,"vertebrates, human",07/13/2009,08/13/2018,NC_012959,11.0,149.909090909091,ds_DNA,Adenoviridae
37,38,Human mastadenovirus D,NC_010956,strain:Hicks; NIAID V-209-003-014; serotype:Human adenovirus 9,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,35083,38.0,"vertebrates, human",06/12/2008,08/13/2018,NC_010956,15.0,143.733333333333,ds_DNA,Adenoviridae
38,39,Human mastadenovirus A,NC_001460,strain:Huie; serotype:Human adenovirus 12; culture-collection:ATCC:VR-863,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,34125,36.0,"vertebrates, human",07/06/1993,08/13/2018,NC_001460,16.0,147.125,ds_DNA,Adenoviridae
39,40,Human mastadenovirus B,"['NC_011202', 'NC_011203']",strain:Slobitski; type:2; type:Ad11p; serotype:Human adenovirus 11; culture-collection:ATCC:VR-12,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,70137,77.0,"vertebrates, human",09/04/2008,08/13/2018,NC_011202,16.0,159.1875,ds_DNA,Adenoviridae
40,41,Human mastadenovirus B,"['NC_011202', 'NC_011203']",strain:Slobitski; type:2; type:Ad11p; serotype:Human adenovirus 11; culture-collection:ATCC:VR-12,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,70137,77.0,"vertebrates, human",09/04/2008,08/13/2018,NC_011202,16.0,159.1875,ds_DNA,Adenoviridae
41,42,Human mastadenovirus C,NC_001405,serotype:Human adenovirus 2,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,35937,38.0,"vertebrates, human",04/27/1993,08/13/2018,NC_001405,15.0,210.53333333333302,ds_DNA,Adenoviridae
42,43,Human mastadenovirus F,NC_001454,strain:Dugan; serotype:Human adenovirus 40,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,34214,34.0,vertebrates,07/26/1993,08/13/2018,NC_001454,12.0,161.916666666667,ds_DNA,Adenoviridae
43,44,Lizard adenovirus 2,NC_024684,isolate:23-06,linear,"['Viruses', 'Adenoviridae', 'Atadenovirus']",DNA,32965,34.0,vertebrates,08/13/2014,08/13/2018,NC_024684,13.0,111.46153846153798,ds_DNA,Adenoviridae
44,45,Murine adenovirus 2,NC_014899,serotype:2; isolate:K87,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,35203,27.0,vertebrates,01/13/2011,08/13/2018,NC_014899,10.0,221.5,ds_DNA,Adenoviridae
45,46,Murine adenovirus 3,NC_012584,-,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Murine mastadenovirus C']",DNA,30570,28.0,vertebrates,04/21/2009,08/13/2018,NC_012584,9.0,286.222222222222,ds_DNA,Adenoviridae
46,47,Murine mastadenovirus A,NC_000942,serotype:Murine adenovirus 1,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,30944,26.0,vertebrates,04/05/1997,08/13/2018,NC_000942,7.0,197.285714285714,ds_DNA,Adenoviridae
47,48,Odocoileus adenovirus 1,NC_035619,isolate:CA_AdV_Ohc 98-6943,linear,"['Viruses', 'Adenoviridae', 'Atadenovirus']",DNA,30620,27.0,vertebrates,08/28/2017,08/13/2018,NC_035619,10.0,67.7,ds_DNA,Adenoviridae
48,49,Ovine adenovirus 1,NC_043094,strain:S1; serotype:1,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Ovine mastadenovirus B']",DNA,2724,1.0,vertebrates,06/28/2019,06/28/2019,NC_043094,0.0,,ds_DNA,Adenoviridae
49,50,Ovine adenovirus 7,NC_004037,strain:OAV287,linear,"['Viruses', 'Adenoviridae', 'Atadenovirus']",DNA,29576,30.0,vertebrates,12/28/1996,08/13/2018,NC_004037,10.0,53.4,ds_DNA,Adenoviridae
50,51,Penguin siadenovirus A,NC_030116,isolate:CSPAdV_2,linear,"['Viruses', 'Adenoviridae', 'Siadenovirus']",DNA,24662,22.0,vertebrates,05/16/2016,02/23/2019,NC_030116,9.0,72.44444444444441,ds_DNA,Adenoviridae
51,52,Pigeon adenovirus 1,NC_024474,strain:IDA4,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Pigeon aviadenovirus A']",DNA,45480,37.0,vertebrates,05/16/2010,08/13/2018,NC_024474,27.0,65.0740740740741,ds_DNA,Adenoviridae
52,53,Pigeon adenovirus 2,NC_031503,isolate:YPDS-Y-V1.A19.11-2013,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus']",DNA,41981,35.0,vertebrates,10/21/2016,08/13/2018,NC_031503,24.0,124.0,ds_DNA,Adenoviridae
53,54,Polar bear mastadenovirus 1,NC_040811,isolate:BK35,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'unclassified Mastadenovirus']",DNA,27952,27.0,vertebrates,02/12/2019,02/12/2019,NC_040811,14.0,97.2857142857143,ds_DNA,Adenoviridae
54,55,Porcine adenovirus 4,NC_038334,strain:PAV-4; isolate:NADC-1,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Porcine mastadenovirus B']",DNA,2559,1.0,vertebrates,08/24/2018,08/24/2018,NC_038334,0.0,,ds_DNA,Adenoviridae
55,56,Porcine adenovirus 5,NC_002702,serotype:5,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Porcine mastadenovirus C']",DNA,32621,28.0,vertebrates,03/26/2001,08/13/2018,NC_002702,7.0,106.857142857143,ds_DNA,Adenoviridae
56,57,Psittacine adenovirus 3,NC_025962,isolate:HKU/Parrot19,linear,"['Viruses', 'Adenoviridae', 'Atadenovirus']",DNA,31735,29.0,vertebrates,12/24/2014,08/13/2018,NC_025962,7.0,79.28571428571429,ds_DNA,Adenoviridae
57,58,Psittacine aviadenovirus B,NC_039032,isolate:CS15-4016,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus']",DNA,40930,42.0,vertebrates,08/24/2018,08/24/2018,NC_039032,12.0,29.0833333333333,ds_DNA,Adenoviridae
58,59,Raptor adenovirus 1,NC_015455,-,linear,"['Viruses', 'Adenoviridae', 'Siadenovirus']",DNA,26284,23.0,vertebrates,04/29/2011,08/13/2018,NC_015455,10.0,52.5,ds_DNA,Adenoviridae
59,60,Simian adenovirus 1,NC_006879,strain:ATCC VR-195,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,34450,35.0,vertebrates,03/17/2005,08/13/2018,NC_006879,14.0,139.642857142857,ds_DNA,Adenoviridae
60,61,Simian adenovirus 13,NC_028103,strain:P-9; serotype:13,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,32939,34.0,vertebrates,10/30/2015,08/13/2018,NC_028103,13.0,165.230769230769,ds_DNA,Adenoviridae
61,62,Simian adenovirus 16,NC_028105,strain:C-8; serotype:16,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,35159,36.0,vertebrates,10/30/2015,08/13/2018,NC_028105,17.0,146.647058823529,ds_DNA,Adenoviridae
62,63,Simian adenovirus 18,NC_022266,-,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,31967,29.0,vertebrates,09/06/2013,08/13/2018,NC_022266,11.0,184.909090909091,ds_DNA,Adenoviridae
63,64,Simian adenovirus 19,NC_028107,strain:AA153; serotype:19,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,34064,36.0,vertebrates,10/30/2015,08/13/2018,NC_028107,19.0,141.684210526316,ds_DNA,Adenoviridae
64,65,Simian adenovirus 20,NC_020485,strain:ATCC VR-541; serotype:20; culture-collection:ATCC:VR-541,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,34302,32.0,vertebrates,03/12/2013,08/13/2018,NC_020485,10.0,105.8,ds_DNA,Adenoviridae
65,66,Simian adenovirus 3,NC_006144,strain:ATCC VR-1449,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,34246,34.0,vertebrates,08/24/2004,08/13/2018,NC_006144,14.0,126.0,ds_DNA,Adenoviridae
66,67,Simian adenovirus 49,NC_015225,isolate:C24948,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Simian mastadenovirus B']",DNA,35499,32.0,vertebrates,04/04/2011,08/13/2018,NC_015225,9.0,125.555555555556,ds_DNA,Adenoviridae
67,68,Simian adenovirus 8,NC_028113,strain:P-5; serotype:8,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,35685,36.0,vertebrates,10/30/2015,08/13/2018,NC_028113,17.0,151.529411764706,ds_DNA,Adenoviridae
68,69,Simian adenovirus DM-2014,NC_025678,isolate:23336,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,32661,34.0,vertebrates,11/19/2014,08/13/2018,NC_025678,16.0,131.5625,ds_DNA,Adenoviridae
69,70,Simian mastadenovirus C,NC_021168,isolate:BaAdV-2,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,34391,36.0,vertebrates,05/01/2013,08/13/2018,NC_021168,16.0,131.375,ds_DNA,Adenoviridae
70,71,Simian mastadenovirus WIV19,NC_032105,isolate:WIV19,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,33562,34.0,vertebrates,12/14/2016,08/13/2018,NC_032105,14.0,132.642857142857,ds_DNA,Adenoviridae
71,72,Skua adenovirus 1,NC_016437,isolate:T03,linear,"['Viruses', 'Adenoviridae', 'Siadenovirus']",DNA,26340,23.0,vertebrates,12/15/2011,08/13/2018,NC_016437,10.0,49.7,ds_DNA,Adenoviridae
72,73,Skunk adenovirus PB1,NC_027708,isolate:SkAdV-PB1,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,31848,30.0,vertebrates,08/18/2015,08/13/2018,NC_027708,9.0,100.0,ds_DNA,Adenoviridae
73,74,Snake adenovirus 1,NC_009989,strain:145/88,linear,"['Viruses', 'Adenoviridae', 'Atadenovirus']",DNA,27751,28.0,vertebrates,11/20/2007,08/13/2018,NC_009989,12.0,116.75,ds_DNA,Adenoviridae
74,75,Squirrel adenovirus 1,NC_035207,strain:DE/2013/Sciurus vulgaris/2013Pa405-00252,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,35030,29.0,vertebrates,07/14/2017,08/13/2018,NC_035207,9.0,216.444444444444,ds_DNA,Adenoviridae
75,76,Titi monkey adenovirus ECC-2011,NC_020487,-,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,36838,35.0,vertebrates,05/10/2013,08/13/2018,NC_020487,13.0,148.153846153846,ds_DNA,Adenoviridae
76,77,Turkey adenovirus 1,NC_014564,strain:D90/2,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Turkey aviadenovirus B']",DNA,45413,37.0,vertebrates,10/08/2010,08/13/2018,NC_014564,18.0,110.11111111111099,ds_DNA,Adenoviridae
77,78,Turkey adenovirus 3,NC_001958,-,linear,"['Viruses', 'Adenoviridae', 'Siadenovirus']",DNA,26263,24.0,vertebrates,10/19/1998,08/13/2018,NC_001958,10.0,172.5,ds_DNA,Adenoviridae
78,79,Turkey aviadenovirus 4,NC_022612,type:4; isolate:TNI1,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Turkey aviadenovirus C']",DNA,42940,33.0,vertebrates,10/31/2013,08/13/2018,NC_022612,19.0,61.73684210526321,ds_DNA,Adenoviridae
79,80,Turkey aviadenovirus 5,NC_022613,type:5; isolate:1277BT,linear,"['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Turkey aviadenovirus D']",DNA,43686,37.0,vertebrates,10/31/2013,08/13/2018,NC_022613,12.0,82.9166666666667,ds_DNA,Adenoviridae
80,81,Ageratum conyzoides associated symptomless alphasatellite,NC_024710,isolate:Okra,circular,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']",DNA,1437,1.0,plants,08/20/2014,08/13/2018,NC_024710,0.0,,ss_DNA,Alphasatellitidae
81,82,Ageratum conyzoides symptomless alphasatellite,NC_028116,isolate:WOK80,circular,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']",DNA,1381,1.0,plants,10/30/2015,08/13/2018,NC_028116,0.0,,ss_DNA,Alphasatellitidae
82,83,Ageratum enation alphasatellite,NC_019547,isolate:Poppy (1),circular,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Colecusatellite']",DNA,1378,1.0,plants,11/21/2012,08/13/2018,NC_019547,0.0,,ss_DNA,Alphasatellitidae
83,84,Ageratum leaf curl Cameroon alphasatellite,NC_014744,isolate:SatA7,circular,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']",DNA,1383,3.0,plants,12/01/2010,08/14/2018,NC_014744,1.0,34.0,ss_DNA,Alphasatellitidae
84,85,Ageratum yellow vein China alphasatellite,NC_023443,isolate:Sn3,circular,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Colecusatellite']",DNA,1365,1.0,plants,02/13/2014,08/13/2018,NC_023443,0.0,,ss_DNA,Alphasatellitidae
85,86,Ageratum yellow vein India alphasatellite,NC_019546,isolate:NBRI,circular,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Colecusatellite']",DNA,1389,1.0,plants,11/21/2012,08/13/2018,NC_019546,0.0,,ss_DNA,Alphasatellitidae
86,87,Ageratum yellow vein Pakistan alphasatellite,NC_033271,isolate:H5A1,circular,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']",DNA,1370,1.0,plants,01/05/2017,08/13/2018,NC_033271,0.0,,ss_DNA,Alphasatellitidae
87,88,Ageratum yellow vein Singapore alphasatellite,NC_003414,-,circular,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Ageyesisatellite']",ss-DNA,1360,1.0,plants,02/14/2002,08/13/2018,NC_003414,0.0,,ss_DNA,Alphasatellitidae
88,89,Ageratum yellow vein alphasatellite,NC_033555,-,circular,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Colecusatellite']",DNA,1364,1.0,plants,01/27/2017,08/13/2018,NC_033555,0.0,,ss_DNA,Alphasatellitidae
89,90,Banana bunchy top alphasatellite 1,NC_038892,-,linear,"['Viruses', 'Alphasatellitidae', 'Nanoalphasatellitinae', 'Babusatellite']",DNA,1096,4.0,,08/24/2018,09/07/2018,NC_038892,3.0,142.333333333333,ss_DNA,Alphasatellitidae
90,91,Banana bunchy top alphasatellite 2,NC_038953,-,circular,"['Viruses', 'Alphasatellitidae', 'Nanoalphasatellitinae', 'Babusatellite']",ss-DNA,1100,1.0,,08/24/2018,06/28/2019,NC_038953,0.0,,ss_DNA,Alphasatellitidae
91,92,Banana bunchy top alphasatellite 3,NC_038955,isolate:Haikou 2,circular,"['Viruses', 'Alphasatellitidae', 'Nanoalphasatellitinae', 'Babusatellite']",DNA,1093,1.0,,08/24/2018,09/07/2018,NC_038955,0.0,,ss_DNA,Alphasatellitidae
92,93,Bendhi Yellow Vein Mosaic/Mesta Yellow Vein Mosaic alphasatellite,NC_039083,-,circular,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']",DNA,1377,1.0,plants,02/08/2010,08/24/2018,NC_039083,0.0,,ss_DNA,Alphasatellitidae
93,94,Bhendi yellow vein mosaic alphasatellite,NC_026947,isolate:Madurai MKU-2,circular,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']",DNA,1370,1.0,plants,05/05/2015,08/13/2018,NC_026947,0.0,,ss_DNA,Alphasatellitidae
94,95,Bhendi yellow vein mosaic virus-associated alphasatellite,NC_018574,isolate:BYVMVA[Okra:Ropar:2010],circular,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']",DNA,1316,1.0,plants,09/10/2012,08/13/2018,NC_018574,0.0,,ss_DNA,Alphasatellitidae
95,96,Bhindi yellow vein alphasatellite,NC_029313,isolate:Pakistan:Lahore:Urtica dioica_2013,linear,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']",DNA,1361,1.0,plants,03/01/2016,08/13/2018,NC_029313,0.0,,ss_DNA,Alphasatellitidae
96,97,Black medic leafroll alphasatellite 1,NC_023875,isolate:Lerik-Xalifa_47,circular,"['Viruses', 'Alphasatellitidae', 'Nanoalphasatellitinae', 'unclassified Babu- and nanovirus-associated alphasatellites']",ss-DNA,1030,1.0,plants,04/03/2014,08/13/2018,NC_023875,0.0,,ss_DNA,Alphasatellitidae
97,98,Cardamom bushy dwarf alphasatellite,NC_022919,-,circular,"['Viruses', 'Alphasatellitidae', 'Nanoalphasatellitinae', 'Babusatellite']",DNA,1127,1.0,plants,11/29/2013,08/13/2018,NC_022919,0.0,,ss_DNA,Alphasatellitidae
98,99,Cassava mosaic Madagascar alphasatellite,NC_018628,isolate:Madagascar:Diana:635A6:2011,linear,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'Colecusatellite']",DNA,1478,1.0,plants,09/16/2012,08/13/2018,NC_018628,0.0,,ss_DNA,Alphasatellitidae
99,100,Chilli leaf curl India alphasatellite,NC_027431,-,circular,"['Viruses', 'Alphasatellitidae', 'Geminialphasatellitinae', 'unclassified Begomovirus-associated alphasatellites']",DNA,1375,1.0,plants,06/30/2015,08/13/2018,NC_027431,0.0,,ss_DNA,Alphasatellitidae
